ФИО,Диссертационный совет,Название диссертации,Дата защиты диссертации,Специальность,1 Научный руководитель (консультант),2 Научный руководитель (консультант),Год защиты,Искомая степень,Информация о лишении степени,Примечания
Пугачев Максим Игоревич,07.2.002.03 (Д 215.002.06),Состояние сердечно–сосудистой системы и некоторых факторов нейро–гуморальной регуляции у больных ожоговой болезнью,19.10.2015,14.01.04 – внутренние болезни,Шустов Сергей Борисович,–,2015,,,
Ким Марина Владимировна,07.2.002.03 (Д 215.002.06),"Полиморфизм генов белка, переносящего эфиры холестерина, параоксоназы 1 и эффективность гиполипидемической терапии у больных сахарным диабетом 2 типа",19.10.2015,14.01.02 – эндокринология,Баранова Елена Ивановна,–,2015,,,
Панов Владимир Андреевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Современные методы обезболивания на передовых этапах оказания медицинской помощи в Вооруженных Силах Российской Федерации,27.10.2015,14.01.20 – анестезиология и реаниматология,Щеголев Алексей Валерианович,–,2015,,,
Герасимов Денис Геннадьевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Управляемость по концентрации тотальной внутривенной анестезии в военно–медицинских учреждениях,27.10.2015,14.01.20 – анестезиология и реаниматология,Щеголев Алексей Валерианович,–,2015,,,
Тишко Валерий Владимирович,07.2.002.03 (Д 215.002.06),Эфферентная терапия в профилактике и лечении рестеноза коронарных артерий,16.11.2015,"14.01.05 – кардиология, 14.01.21 – гематология и переливание крови",Бельских Андрей Николаевич,Тыренко Вадим Витальевич,2015,,,
Литвинцев Богдан Сергеевич,Д 215.002.04 (Закрыт с 15.04.2022),Неврологические нарушения у потенциального воинского контингента при наркомании,23.11.2015,14.01.11 – нервные болезни,Одинак Мирослав Михайлович,–,2015,,,
Воробьева Марина Николаевна,Д 215.002.04 (Закрыт с 15.04.2022),Клинико – нейрофункциональная диагностика дискогенных радикулопатий в структуре дорсопатий пояснично – крестцовой локализации,23.11.2015,14.01.11 – нервные болезни,Живолупов Сергей Анатольевич,–,2015,,,
Аганов Дмитрий Сергеевич,Д 215.002.03 (Закрыт с 15.07.2022),"Нарушения минерального обмена костной ткани у военнослужащих, проходящих службу в условиях Севера",24.11.2015,14.03.03 – патологическая физиология; 14.01.22 – ревматология,Цыган Василий Николаевич,Тыренко Вадим Витальевич,2015,,,
Ходько Светлана Владимировна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Эффективность лекарственных препаратов природного происхождения в экспериментальных моделях воспаления верхних дыхательных путей,08.12.2015,"14.03.06 – фармакология, клиническая фармакология, 14.03.03 – патологическая физиология",Шабанов Петр Дмитриевич,Макарова Марина Николаевна,2015,,,
Монид Максим Викторович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Фармакологическая коррекция постишемических повреждений лимбических структур головного мозга по данным морфологического анализа,08.12.2015,"14.03.06 – фармакология, клиническая фармакология, 03.03.04 – клеточная биология, цитология, гистология",Шабанов Петр Дмитриевич,Дробленков Андрей Всеволодович,2015,,,
Ворокутова Ольга Владимировна,07.2.002.05 (Д 215.002.09),Иммуно–морфологические особенности теноновой капсулы и клинико–функциональные характеристики детей с миопией,14.12.2015,14.01.07 – глазные болезни,Петров Сергей Анатольевич,–,2015,,,
Литвишко Алексей Александрович, 07.2.002.01 (Д 215.002.01),Клинико–организационные аспекты профилактического использования наружных антибактериальных средств у военнослужащих,14.12.2015,14.01.10 – кожные и венерические болезни; 14.02.03 – общественное здоровье и здравоохранение,Барбинов Вячеслав Витальевич,Жидик Владимир Вячеславович,2015,,,
Шайтанова Татьяна Юрьевна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Глиальный пептид s100b как предиктор ранних неврологических осложнений при инфаркте головного мозга,22.12.2015,14.01.20 – анестезиология и реаниматология,Недашковский Эдуард Владимирович,–,2015,,,
Носович Дмитрий Владимирович,07.2.002.03 (Д 215.002.06),Особенности течения первичного и повторного инфаркта миокарда у мужчин молодого и среднего возраста с артериальной гипертензией в условиях терапевтического стационара,24.12.2015,14.01.05 – кардиология,Яковлев Владимир Валерьевич,–,2015,,,
Пищугина Алена Владимировна,07.2.002.03 (Д 215.002.06),Патология щитовидной железы в структуре заболеваемости работников промышленных предприятий в йододефицитном регионе,24.12.2015,14.01.02 – эндокринология,Белякова Наталья Александровна,–,2015,,,
Абулула Мария,07.2.002.03 (Д 215.002.06), Влияние генетических полиморфизмов в генах CYP2C9 и SLC22А1(ОСТ1) на индивидуальную восприимчивость к гликлазиду и метформину у больных сахарным диабетом 2 типа,24.12.2015,14.01.02 – эндокринология, Баранов Виталий Леонидович,–,2015,,,
Микитюк Сергей Иванович,07.2.002.02 (Д 215.002.02),Анатомическое обоснование формирования костных трансплантатов на сосудистой ножке в различных сегментах верхней конечности (экспериментально–клиническое исследование),24.12.2015,14.03.01 – анатомия человека; 14.01.15 – травматология и ортопедия,Гайворонский Иван Васильевич,Губочкин Николай Григорьевич,2015,,,
Хейнштейн Валерия Александровна,07.2.002.02 (Д 215.002.02),Патоморфологическая характеристика спектра веретеноклеточных меланом,24.12.2015,14.03.02 – патологическая анатомия,Шелехова Ксения Владимировна,–,2015,,,
Васильев Юрий Александрович,Д 215.002.11 (Закрыт с 12.10.2022),Цифровая микрофокусная технология рентгенографии в оценке анатомического строения зубов (экспериментальное исследование),25.12.2015,"14.01.13 – лучевая диагностика, лучевая терапия",Дударев Анатолий Лукич,Алпатова Виктория Георгиевна,2015,,,
Петрова Виктория Борисовна,07.2.002.03 (Д 215.002.06), Особенности вегетативной регуляции и восприятия боли у больных с кардиальным синдромом Х,18.01.2016,14.01.05 – кардиология,Болдуева Светлана Афанасьевна,–,2016,,,
Савельева Каролина Анатольевна,07.2.002.03 (Д 215.002.06),Влияние функционального состояния кальцийрегулирующей системы на минеральную плотность костной ткани,18.01.2016,14.01.02 – эндокринология,Котова Светлана Михайловна,–,2016,,,
Панова Оксана Вадимовна,07.2.002.03 (Д 215.002.06),Соматический статус у молодых женщин после медицинского аборта,18.01.2016,14.01.04 – внутренние болезни,Куликов Александр Матвеевич,–,2016,,,
Воейков Иван Михайлович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Фармакологическая регуляция поведения пептидными препаратами при центральном и системном введении у крыс,19.01.2016,"14.03.06 – фармакология, клиническая фармакология 
03.03.01 – физиология",Шабанов Петр Дмитриевич,Стрельцов Владимир Федорович,2016,,,
Баутин Андрей Евгеньевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Профилактика и интенсивная терапия острого респираторного дистресс–синдрома после операций на сердце и аорте,19.01.2016,14.01.20 – анестезиология и реаниматология,Полушин Юрий Сергеевич,–,2016,,,
Шумилов Евгений Григорьевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Участие орексинов структур расширенной миндалины в подкрепляющем действии наркогенов,02.02.2016,"14.03.06 – фармакология, клиническая фармакология 
03.03.01 – физиология",Шабанов Петр Дмитриевич,Лебедев Андрей Андреевич,2016,,,
Кулай Дмитрий Георгиевич,Д 215.002.03 (Закрыт с 15.07.2022),Патофизиологическое обоснование антидиуретической терапии при доброкачественной гиперплазии предстательной железы,09.02.2016,14.03.03 – патологическая физиология; 14.01.23 – урология,Цыган Василий Николаевич,Протощак Владимир Владимирович,2016,,,
Новиков Михаил Владимирович,07.2.002.03 (Д 215.002.06)," Функциональное состояние эндотелия и тканевая микроциркуляция у молодых лиц, работающих в условиях повышенного давления газовой среды",15.02.2016,"14.03.08 – авиационная, космическая и морская медицина",Свистов Александр Сергеевич,–,2016,,,
Стеклов Владимир Иванович,07.2.002.03 (Д 215.002.06),"Тахиаритмии сердца: стратегия диагностики, лечения и новые подходы к военно–врачебной экспертизе после радиочастотной аблации",15.02.2016,14.01.05 – кардиология; 14.01.26 – сердечно–сосудистая хирургия,Симоненко Владимир Борисович,Хубулава Геннадий Григорьевич,2016,,,
Кирсанова Леся Васильевна,07.2.002.01 (Д 215.002.01),Изменения кожи шеи у женщин и их коррекция с применением фракционного фототермолиза и инфракрасного термолифтинга,15.02.2016,14.01.10 – кожные и венерические болезни, Аравийская Елена Роальдовна,–,2016,,,
Рассказов Ярослав Александрович,07.2.002.01 (Д 215.002.01),Эффективность дальней длинноволновой ультрафиолетовой UVA–1 терапии в лечении больных псориазом,15.02.2016,14.01.10 – кожные и венерические болезни,Бакулев Андрей Леонидович,–,2016,,,
Лихолетова Наталья Викторовна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Роль позиционирования больного в интенсивной терапии нетравматических внутричерепных кровоизлияний,16.02.2016,14.01.20 – анестезиология и реаниматология,Горбачёв Владимир Ильич,–,2016,,,
Гусев Роман Владимирович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Особенности течения внебольничной пневмонии у военнослужащих по призыву после вакцинации инактивированной вакциной для профилактики гриппа,01.03.2016,14.01.25 – пульмонология,Халимов Юрий Шавкатович,–,2016,,,
Рубцов Юрий Евгеньевич,07.2.002.03 (Д 215.002.06),Клинико–патогенетические и функциональные особенности внебольничных пневмоний тяжелого течения у военнослужащих молодого возраста,14.03.2016,14.01.04 – внутренние болезни,Халимов Юрий Шавкатович,–,2016,,,
Постоева Анна Викторовна,07.2.002.03 (Д 215.002.06),Влияние снижения массы тела на структурно–функциональные показатели миокарда у женщин с ожирением различной выраженности,14.03.2016,14.01.04 – внутренние болезни,Дворяшина Ирина Владимировна,–,2016,,,
Андреева Галина Олеговна,Д 215.002.04 (Закрыт с 15.04.2022),Хронический болевой синдром при заболеваниях периферической нервной системы,14.03.2016,14.01.11 – нервные болезни,Емельянов Александр Юрьевич,–,2016,,,
Гладков Сергей Анатольевич,07.2.002.02 (Д 215.002.02),Патологическая анатомия гриппа в современных условиях,28.03.2016,14.03.02 – патологическая анатомия,Цинзерлинг Всеволод Александрович,–,2016,,,
Крылова Юлия Сергеевна,07.2.002.02 (Д 215.002.02),Иммуногистохимические критерии имплантационной восприимчивости эндометрия,28.03.2016,14.03.02 – патологическая анатомия,Кветной Игорь Моисеевич,–,2016,,,
Павлыш Андрей Владиславович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Фармакоэкономическая оценка эффективности химиотерапии в системе онкологической помощи,05.04.2016,"14.03.06 – фармакология, клиническая фармакология, 14.02.03 – общественное здоровье и здравоохранение",Колбин Алексей Сергеевич,Вишняков Николай Иванович,2016,,,
Феоктистова Валерия Сергеевна,07.2.002.03 (Д 215.002.06),"Генетические и биохимические маркеры, ассоциированные с развитием ишемической болезни сердца у женщин молодого и среднего возраста",18.04.2016,"14.01.04 – внутренние болезни, 14.03.10 – клиническая лабораторная диагностика",Болдуева Светлана Афанасьевна,Сироткина Ольга Васильевна,2016,,,
Лобзин Владимир Юрьевич,Д 215.002.04 (Закрыт с 15.04.2022),"Сосудисто–нейродегенеративные когнитивные нарушения (патогенез, клинические проявления, ранняя и дифференциальная диагностика)",18.04.2016,14.01.11 – нервные болезни,Одинак Мирослав Михайлович,–,2016,,,
Карев Вадим Евгеньевич,07.2.002.01 (Д 215.002.01), Клинические и иммуно–морфологические аспекты патогенеза хронической HBV– и HCV–инфекции,19.04.2016,14.01.09 – инфекционные болезни; 14.03.02 – патологическая анатомия,Лобзин Юрий Владимирович,Цинзерлинг Всеволод Александрович,2016,,,
Бакланов Денис Викторович,Д 215.002.03 (Закрыт с 15.07.2022),Особенности патогенеза острого кислородного отравления у водолазов и подводников,19.04.2016,"14.03.03 – патологическая физиология; 14.03.08 – авиационная, космическая и морская медицина",Николаев Валентин Иванович,Стаценко Анатолий Васильевич,2016,,,
Зельтер Павел Михайлович,Д 215.002.11 (Закрыт с 12.10.2022),Компьютерная томография в диагностике и фенотипировании хронической обструктивной болезни легких,22.04.2016,"14.01.13 – лучевая диагностика, лучевая терапия",Капишников Александр Викторович,–,2016,,,
Ерошенко Максим Евгеньевич,Д 215.002.04 (Закрыт с 15.04.2022),Совершенствование тактики лечения больных с опухолями головного мозга на основе картирования моторной зоны коры путем навигационной транскраниальной магнитной стимуляции,11.05.2016,14.01.18 – нейрохирургия,Щербук Александр Юрьевич,–,2016,,,
Негруша Надежда Александровна,07.2.002.03 (Д 215.002.06),"Метаболический синдром у беременных: особенности течения, диагностики, лечения и профилактики",16.05.2016,14.01.04 – внутренние болезни; 14.01.01 – акушерство и гинекология,Гордиенко Александр Волеславович,Молчанов Олег Леонидович,2016,,,
Волкова Анна Ральфовна,07.2.002.03 (Д 215.002.06),Субклинический гипотиреоз как фактор сердечно–сосудистого риска у больных ишемической болезнью сердца,16.05.2016,14.01.02 – эндокринология,Гринева Елена Николаевна,–,2016,,,
Ковальчук Евгений Юрьевич,07.2.002.03 (Д 215.002.06),Прогностическое значение маркеров системного воспалительного ответа при постинфарктных разрывах сердца,23.05.2016,14.01.05 – кардиология,Сорока Владимир Васильевич,–,2016,,,
Ошоров Андрей Васильевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Мониторинг церебрального перфузионного давления и ауторегуляции мозгового кровотока при интенсивной терапии тяжелой черепно–мозговой травмы,07.06.2016,14.01.20 – анестезиология и реаниматология,Потапов Александр Александрович,–,2016,,,
Антипушина Диана Николаевна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Клинические и прогностические аспекты саркоидоза органов дыхания у военнослужащих,07.06.2016,14.01.25 пульмонология,Зайцев Андрей Алексеевич,–,2016,,,
Онищенко Екатерина Сергеевна,07.2.002.05 (Д 215.002.09),Лечение заболеваний век с применением радиоволнового и лазерного излучения ближнего инфракрасного диапазона,14.05.2016,14.01.07 – глазные болезни,Новиков Сергей Александрович,–,2016,,,
Тытюк Сергей Юрьевич,07.2.002.05 (Д 215.002.09),"Стоматологический статус взрослых людей, страдающих болезнью Крона и хроническим неспецифическим язвенным колитом",14.06.2016,14.01.14 – стоматология,Иорданишвили Андрей Константинович,–,2016,,,
Солдаткина Аксинья Сергеевна,07.2.002.05 (Д 215.002.09),Совершенствование системы оказания амбулаторной стоматологической помощи курсантам высших военных учебных заведений МО РФ,14.06.2016,14.01.14 – стоматология,Иорданишвили Андрей Константинович,–,2016,,,
Бобров Андрей Львович,07.2.002.03 (Д 215.002.06),Оценка функционального резерва деятельности сердца при помощи стресс–визуализирующих методов исследования,20.06.2016,14.01.05 – кардиология,Хубулава Геннадий Григорьевич,–,2016,,,
Мирохина Мария Алексеевна,07.2.002.03 (Д 215.002.06), Комплексная характеристика показателей кардиоваскулярного риска у лиц молодого возраста с предгипертензией в зависимости от особенностей постнагрузочной гликемии,20.06.2016,14.01.05 – кардиология,Барсуков Антон Владимирович,–,2016,,,
Ковалевский Александр Мечиславович,07.2.002.05 (Д 215.002.09),"Морфофункциональное обоснование профилактики и лечения стоматологических заболеваний у военнослужащих, подвергающихся воздействию общей вибрации (клинико–экспериментальное исследование)",20.06.2016,"14.01.14 – стоматология 
14.03.01 – анатомия человека",Иорданишвили Андрей Константинович,Гайворонский Иван Васильевич,2016,,,
Кутелев Геннадий Геннадьевич,07.2.002.03 (Д 215.002.06),"Особенности сердечного ритма и проводимости, коронарного кровотока у водолазов Военно–морского флота по результатам функциональных исследований",20.06.2016,14.01.05 – кардиология,Черкашин Дмитрий Викторович,–,2016,,,
Арутюнян Анна Врежевна,Д 215.002.03 (Закрыт с 15.07.2022),Роль взаимодействий холинергической и ГАМК–ергической систем в патогенезе длительных бессознательных состояний при тяжелых отравлениях нейротоксикантами,21.06.2016,"14.03.03 – патологическая физиология, 14.03.04 – токсикология",Марьянович Александр Тимурович,Александров Михаил Всеволодович ,2016,,,
Быкова Александра Львовна,Д 215.002.11 (Закрыт с 12.10.2022),Компьютерная томографическая ангиография и магнитно–резонансная томография в оценке распространенности рака желудка на предоперационном этапе,24.06.2016,"14.01.13 – лучевая диагностика, лучевая терапия",Сперанская Александра Анатольева,–,2016,,,
Ильюшенкова Юлия Николаевна,Д 215.002.11 (Закрыт с 12.10.2022),Возможности комплексной сцинтиграфической диагностики латентных воспалительных изменений миокарда у больных с фибрилляцией предсердий,24.06.2016,"14.01.13 – лучевая диагностика, лучевая терапия, 14.01.05 – кардиология",Попов Сергей Валентинович,Сазонова Светлана Ивановна,2016,,,
Толкач Павел Геннадьевич,Д 215.002.11 (Закрыт с 12.10.2022),Экспериментальная оценка эффективности применения нейропептидов при остром отравлении оксидом углерода,24.06.2016,"14.03.04 – токсикология, 14.03.06 – фармакология, клиническая фармакология",Гребенюк Александр Николаевич,Башарин Вадим Александрович,2016,,,
Страхов Илья Владимирович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Коррекция окислительного стресса у пострадавших с травматическим шоком,06.09.2016,14.01.20 – анестезиология и реаниматология,Лапшин Владимир Николаевич,–,2016,,,
Горбань Вера Ивановна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Общая анестезия с автоматизированным контролем концентрации анестетиков и расширенным мониторингом при вмешательствах на позвоночнике и спинном мозге,06.09.2016,14.01.20 – анестезиология и реаниматология,Щеголев Алексей Валерианович,–,2016,,,
Гайсина Гульфия Яудатовна,07.2.002.05 (Д 215.002.09),Обоснование применения глазных лекарственных пленок с моксифлоксацином,19.09.2016,14.01.07 – глазные болезни,Азнабаев Марат Талгатович,–,2016,,,
Габдрахманов Ильнур Адисович,07.2.002.01 (Д 215.002.01),Клинико–вирусологическая и морфологическая характеристика хронического гепатита В на различных фазах заболевания,19.09.2016,14.01.09 – инфекционные болезни,Жданов Константин Валерьевич,–,2016,,,
Петрова Анна Юрьевна,07.2.002.01 (Д 215.002.01),Дифференциальная диагностика кожной формы острой реакции «трансплантат против хозяина»,19.09.2016,14.01.10 – кожные и венерические болезни; 14.03.02 – патологическая анатомия,Белоусова Ирена Эдуардовна,Байков Вадим Валентинович,2016,,,
Боброва Екатерина Анатольевна,07.2.002.05 (Д 215.002.09),Оценка состояния твердых тканей зуба в процессе ортодонтического лечения,19.09.2016,14.01.14 – стоматология,Антонова Ирина Николаевна,–,2016,,,
Адхамов Бахтияр Марксович,07.2.002.01 (Д 215.002.01),Клинико–организационные аспекты совершенствования физиотерапевтической помощи военнослужащим,19.09.2016,"14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия 
14.02.03 – общественное здоровье и здравоохранение",Пономаренко Геннадий Николаевич,Русев Илья Трифонович,2016,,,
Салманов Илгар Бабаевич,07.2.002.05 (Д 215.002.09), Оценка эффективности эндодонтического лечения зубов у военнослужащих в военно–медицинских организациях Министерства обороны Российской Федерации,19.09.2016,14.01.14 – стоматология,Иорданишвили Андрей Константинович,–,2016,,,
Ростовцев Дмитрий Михайлович,Д 215.002.04 (Закрыт с 15.04.2022)," Злокачественные супратенториальные астроцитарные опухоли: организация медицинской помощи, новые технологии и результаты лечения",20.09.2016,14.01.18 – нейрохирургия,Яковенко Игорь Васильевич,–,2016,,,
Тихенко Виталий Викторович,Д 215.002.04 (Закрыт с 15.04.2022),Профилактика аддиктивного поведения у военнослужащих (с позиций многоосевой диагностики),20.09.2016,14.01.06 – психиатрия,Шамрей Владислав Казимирович,–,2016,,,
Петрова Елена Валерьевна,Д 215.002.11 (Закрыт с 12.10.2022),Прогнозирование исхода и оптимизация тактики ведения беременности при кистозной гигроме шеи плода по данным ультразвукового исследования,23.09.2016,"14.01.13 – лучевая диагностика, лучевая терапия",Трофимова Татьяна Николаевна,–,2016,,,
Теплов Константин Владимирович,07.2.002.02 (Д 215.002.02),"Судебно–медицинская диагностика пола, возраста и длины тела взрослого человека на основе дерматоглифических признаков стоп",26.09.2016,14.03.05 – Судебная медицина,Божченко Александр Петрович,–,2016,,,
Назаров Юрий Викторович,07.2.002.02 (Д 215.002.02),Судебно–медицинская характеристика повреждений тела человека пилящим электроинструментом с возвратно–поступательным движением полотна,26.09.2016,14.03.05 – Судебная медицина,Толмачев Игорь Анатольевич,–,2016,,,
Иванов Владимир Владимирович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024)," Состояние сердечно–сосудистой, дыхательной систем и некоторых факторов их регуляции у военнослужащих с внебольничной пневмонией",27.09.2016,14.01.25 – пульмонология,Харитонов Михаил Анатольевич,–,2016,,,
Алиев Арсен Камильевич,07.2.002.06 (Д 215.002.14),Диагностика и лечение ятрогенных повреждений желчевыводящих протоков,10.10.2016,14.01.17 – хирургия,Ромащенко Павел Николаевич ,–,2016,,,
Щугарева Людмила Михайловна,Д 215.002.04 (Закрыт с 15.04.2022),Оптимизация диагностики заболеваний головного мозга у детей в условиях многопрофильной детской больницы (системный подход),10.10.2016,14.01.11 – нервные болезни,Иова Александр Сергеевич,–,2016,,,
Коскин Валерий Сергеевич,07.2.002.06 (Д 215.002.14),Совершенствование системы профилактики раневой инфекции у раненых на этапах медицинской эвакуации,10.10.2016,14.01.17 – хирургия,Самохвалов Игорь Маркеллович,–,2016,,,
Алексеев Валерий Семенович,07.2.002.02 (Д 215.002.02),Морфофункциональное обоснование операций на гастроспленопанкреатическом комплексе и профилактика осложнений при вынужденной спленэктомии,17.09.2016,14.03.01 – анатомия человека; 14.01.17 – хирургия,Гайворонский Иван Васильевич,Котив Богдан Николаевич,2016,,,
Бедило Наталья Витальевна,07.2.002.03 (Д 215.002.06), Эндотелиальная и гемореологическая дисфункция при внебольничной пневмонии,17.10.2016,14.01.04 – внутренние болезни,Воробьева Надежда Александровна,–,2016,,,
Семенова Анастасия Алексеевна, 07.2.002.02 (Д 215.002.02),Вариантная анатомия и морфометрические характеристики небно–альвеолярного комплекса у взрослого человека (краниологическое и клиническое исследование),17.10.2016,"14.03.01 – анатомия человека
14.01.14 – стоматология",Гайворонский Иван Васильевич,Гайворонская Мария Георгиевна,2016,,,
Сыроежкин Федор Анатольевич,07.2.002.05 (Д 215.002.09), Реабилитация больных со слуховыми и вестибулярными нарушениями: нейрофизиологические аспекты компенсаторно–восстановительных процессов,17.10.2016,"14.01.03 – болезни уха, горла и носа",Дворянчиков Владимир Владимирович,–,2016,,,
Шахнович Павел Геннадьевич,07.2.002.03 (Д 215.002.06),Клиническое значение оценки микроциркуляции у больных острым коронарным синдромом,17.10.2016,14.01.05 – кардиология,Свистов Александр Сергеевич,–,2016,,,
Петров Юрий Николаевич,07.2.002.06 (Д 215.002.14),Характеристика санитарных потерь хирургического профиля в современных военных конфликтах,31.10.2016,"14.01.17 – хирургия, 14.02.03 – общественное здоровье и здравоохранение.",Самохвалов Игорь Маркеллович,Шелепов Анатолий Михайлович,2016,,,
Ганин Евгений Валериевич,07.2.002.06 (Д 215.002.14),Лечебно–транспортная иммобилизация переломов длинных костей конечностей в системе этапного лечения раненых и пострадавших,31.10.2016,14.01.17 – хирургия,Самохвалов Игорь Маркеллович,–,2016,,,
Алисов Петр Георгиевич,07.2.002.06 (Д 215.002.14),"Огнестрельные ранения живота. Особенности, диагностика и лечение на этапах медицинской эвакуации в современных условиях.",14.11.2016,14.01.17 – хирургия,Самохвалов Игорь Маркеллович,–,2016,,,
Головко Константин Петрович,07.2.002.06 (Д 215.002.14),Современный подход к комплексному лечению сочетанных повреждений челюстно–лицевой области,14.11.2016,"14.01.17 – хирургия, 14.01.14 – стоматология",Самохвалов Игорь Маркеллович,Мадай Дмитрий Юрьевич,2016,,,
Шокарева Дарья Владимировна,07.2.002.03 (Д 215.002.06),Влияние физической активности на уровень гликемического контроля и качество жизни больных сахарным диабетом 2 типа,21.11.2016,14.01.02 – эндокринология,Стронгин Леонид Григорьевич,–,2016,,,
Музуров Константин Вячеславович,07.2.002.03 (Д 215.002.06),Оценка эффективности субстратов энергетического обмена в лечении отравлений веществами нейродепримирующего действия,21.11.2016,"14.01.04 – внутренние болезни, 14.03.04 – токсикология",Халимов Юрий Шавкатович,Башарин Вадим Александрович,2016,,,
Кравчук Юрий Алексеевич,07.2.002.03 (Д 215.002.06),Клинико–морфологические особенности стеатогепатита алкогольной и метаболической этиологии,21.11.2016,14.01.04 – внутренние болезни,Гриневич Владимир Борисович,–,2016,,,
Петров Александр Николаевич,07.2.002.06 (Д 215.002.14),Совершенствование методов прогнозирования и профилактики тромбоэмболий легочной артерии у тяжелораненых и пострадавших с политравмой,21.11.2016,14.01.17 – хирургия,Самохвалов Игорь Маркеллович,–,2016,,,
Белевич Валерий Леонтьевич,07.2.002.06 (Д 215.002.14),Дифференцированная хирургическая тактика в диагностике и лечении синдрома дисфагии,21.11.2016,14.01.17 – хирургия,Ивануса Сергей Ярославович,–,2016,,,
Камбиев Ренат Леонидович,Д 215.002.04 (Закрыт с 15.04.2022),Эндоскопическая ассистенция при церебральных нейрохирургических доступах,29.11.2016,14.01.18 – нейрохирургия,Лазарев Валерий Александрович,–,2016,,,
Корякина Валерия Александровна,07.2.002.02 (Д 215.002.02), Судебно–медицинская характеристика и оценка повреждений шеи при интубации,05.12.2016,14.03.05 – судебная медицина,Мишин Евгений Степанович,–,2016,,,
Багненко Наталья Михайловна,07.2.002.05 (Д 215.002.09),Объем и содержание ортодонтической помощи населению Ленинградской области,05.12.2016,14.01.14 – стоматология,Гребнев Геннадий Александрович,–,2016,,,
Кущенко Николай Викторович,07.2.002.05 (Д 215.002.09), Влияние полировальных инструментов на микрогеометрию поверхности наногибридного реставрационного материала,05.12.2016,14.01.14 – стоматология,Орехова Людмила Юрьевна,–,2016,,,
Бельских Ольга Андреевна,07.2.002.05 (Д 215.002.09),Особенности клинического течения и лечение стоматологических заболеваний при хронической болезни почек,05.12.2016,14.01.14 – стоматология,Иорданишвили Андрей Константинович,–,2016,,,
Бреднев Антон Олегович,07.2.002.06 (Д 215.002.14), Минимально инвазивные методы в комплексном лечении повреждений и свищей пищевода,12.12.2016,14.01.17 – хирургия,Котив Богдан Николаевич,–,2016,,,
Абдурахманов Ринат Фаридович,07.2.002.06 (Д 215.002.14),Диагностика и хирургическая коррекция заболеваний поджелудочной железы у военнослужащих и лиц молодого возраста,12.12.2016,14.01.17 – хирургия,Ивануса Сергей Ярославович,–,2016,,,
Стасишкис Татьяна Алексеевна,07.2.002.01 (Д 215.002.01),"Клинико–лабораторная характеристика, эффективность и безопасность лечения хронического гепатита С у больных сочетанной HCV/HIV–инфекцией, получающих антиретровирусную терапию",12.12.2016,14.01.09 – инфекционные болезни,Ковеленов Алексей Юрьевич,–,2016,,,
